GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
Jiangsu-EP_Coal_1000_OT-ep-854,2013,582329,10686,.
Jiangsu-EP_Coal_1000_OT-ep-855,2013,582329,10686,.
Jiangsu-EP_Coal_1000_OT-ep-856,2012,582329,10686,.
Jiangsu-EP_Coal_1000_OT-ep-857,2011,582329,10686,.
Jiangsu-EP_Coal_1000_OT-ep-858,2013,582329,10686,.
Jiangsu-EP_Coal_1000_OT-ep-859,2013,582329,10686,.
Jiangsu-EP_Coal_1000_RC-ep-3071,2018,582329,10686,.
Jiangsu-EP_Coal_1000_RC-ep-3072,2018,582329,10686,.
Jiangsu-EP_Coal_1000_RC-ep-3073,2016,582329,10686,.
Jiangsu-EP_Coal_1000_RC-ep-842,2012,582329,10686,.
Jiangsu-EP_Coal_1000_RC-ep-845,2011,582329,10686,.
Jiangsu-EP_Coal_1000_RC-ep-846,2011,582329,10686,.
Jiangsu-EP_Coal_1000_RC-ep-847,2010,582329,10686,.
Jiangsu-EP_Coal_1000_RC-ep-848,2010,582329,10686,.
Jiangsu-EP_Coal_1000_SEA-ep-3074,2017,582329,10686,.
Jiangsu-EP_Coal_1000_SEA-ep-3075,2017,582329,10686,.
Jiangsu-EP_Coal_300_OT-ep-914,1998,628457,12086,.
Jiangsu-EP_Coal_300_OT-ep-915,1998,628457,12086,.
Jiangsu-EP_Coal_300_OT-ep-916,1990,628457,12086,.
Jiangsu-EP_Coal_300_OT-ep-917,1989,628457,12086,.
Jiangsu-EP_Coal_300_OT-ep-918,1999,628457,12086,.
Jiangsu-EP_Coal_300_OT-ep-919,1999,628457,12086,.
Jiangsu-EP_Coal_300_OT-ep-920,1993,628457,12086,.
Jiangsu-EP_Coal_300_OT-ep-921,1993,628457,12086,.
Jiangsu-EP_Coal_300_OT-ep-935,2008,628457,12086,.
Jiangsu-EP_Coal_300_OT-ep-940,2004,628457,12086,.
Jiangsu-EP_Coal_300_OT-ep-941,2005,628457,12086,.
Jiangsu-EP_Coal_300_OT-ep-942,2005,628457,12086,.
Jiangsu-EP_Coal_300_OT-ep-943,2005,628457,12086,.
Jiangsu-EP_Coal_300_OT-ep-944,1986,628457,12086,.
Jiangsu-EP_Coal_300_OT-ep-945,1983,628457,12086,.
Jiangsu-EP_Coal_300_OT-ep-946,1987,628457,12086,.
Jiangsu-EP_Coal_300_OT-ep-947,1997,628457,12086,.
Jiangsu-EP_Coal_300_OT-ep-948,1989,628457,12086,.
